match_fixture,match_date,league_name,season
Harwell International CC 1st XI v Didcot CC 4th XI,10/05/2025,1st XI,2025
Marcham CC 2nd XI v Harwell International CC 2nd XI,10/05/2025,2nd XI,2025
Harwell International CC Friendly XI v Oxfordshire County Council Staff CC Friendly XI,11/05/2025,Friendly XI,2025
Harwell International CC 2nd XI v West Ilsley CC 2nd XI,17/05/2025,2nd XI,2025
Harwell International CC Friendly XI v Wantage & Grove CC Friendly XI,18/05/2025,Friendly XI,2025
Harwell International CC Midweek XI v Chilton Foliat CC Midweek XI,21/05/2025,Midweel XI,2025
Harwell International CC 1st XI v Golden Sparrows CC 1st XI,24/05/2025,1st XI,2025
Golden Sparrows CC 2nd XI v Harwell International CC 2nd XI,24/05/2025,2nd XI,2025
Harwell International CC Midweek XI v Donnington CC Wednesday XI,28/05/2025,Midweel XI,2025
Harwell International CC 1st XI v Stokenchurch CC 2nd XI,31/05/2025,1st XI,2025
Abingdon Vale CC 4th XI v Harwell International CC 2nd XI,31/05/2025,2nd XI,2025
Harwell International CC Friendly XI v Far from the MCC Friendly XI,01/06/2025,Friendly XI,2025
Didcot CC Downs 3rd XI v Harwell International CC Midweek XI,04/06/2025,Midweel XI,2025
Steventon CC 1st XI v Harwell International CC 1st XI,07/06/2025,1st XI,2025
Harwell International CC 2nd XI v Sunningwell CC 2nd XI,07/06/2025,2nd XI,2025
Harwell International CC Friendly XI v Ewelme & Benson CC Friendly XI,08/06/2025,Friendly XI,2025
Harwell International CC Midweek XI v Newbury CC Midweek Development XI,11/06/2025,Midweel XI,2025
Harwell International CC 1st XI v Abingdon Vale CC 2nd XI,14/06/2025,1st XI,2025
Stanton Harcourt CC 2nd XI v Harwell International CC 2nd XI,14/06/2025,2nd XI,2025
Harwell International CC Midweek XI v The Pirates CC Midweek XI,18/06/2025,Midweel XI,2025
Harwell International CC 2nd XI v Gaerse Dun CC 1st XI,21/06/2025,2nd XI,2025
Swinbrook CC 1st XI v Harwell International CC 1st XI,22/06/2025,Cup,2025
East & West Hendred CC 3rd XI v Harwell International CC 2nd XI,28/06/2025,2nd XI,2025
Harwell International CC 1st XI v Bledlow Ridge CC 2nd XI,28/06/2025,1st XI,2025
Harwell International CC Friendly XI v Hampstead Norreys CC Sunday 1st XI,29/06/2025,Friendly XI,2025
Harwell International CC 2nd XI v Didcot CC 6th XI,05/07/2025,2nd XI,2025
Clifton Hampden CC 1st XI v Harwell International CC 1st XI,05/07/2025,1st XI,2025
Harwell International CC Midweek XI v Didcot CC Downs 3rd XI,09/07/2025,Midweel XI,2025
Harwell International CC Midweek XI v Arcadian Casuals CC 1st XI,11/07/2025,Midweel XI,2025
Harwell International CC 2nd XI v Marcham CC 2nd XI,12/07/2025,2nd XI,2025
Didcot CC Friendly XI v Harwell International CC Friendly XI,13/07/2025,Friendly XI,2025
West Ilsley CC 2nd XI v Harwell International CC 2nd XI,19/07/2025,2nd XI,2025
Harwell International CC 1st XI v Frieth CC 1st XI,19/07/2025,1st XI,2025
Harwell International CC 1st XI v Silverstone CC 1st XI,20/07/2025,Cup,2025
Harwell International CC Midweek XI v Old Merchant Taylors CC Thames Tour XI,22/07/2025,Friendly XI,2025
Harwell International CC Midweek XI v Far from the MCC Friendly XI,23/07/2025,Friendly XI,2025
Golden Sparrows CC 1st XI v Harwell International CC 1st XI,26/07/2025,1st XI,2025
Harwell International CC 2nd XI v Golden Sparrows CC 2nd XI,26/07/2025,2nd XI,2025
Greys Green CC 1st XI v Harwell International CC Friendly XI,27/07/2025,Friendly XI,2025
Harwell International CC Midweek XI v Evotec CC 1st XI,30/07/2025,Midweel XI,2025
Stokenchurch CC 2nd XI v Harwell International CC 1st XI,02/08/2025,1st XI,2025
Harwell International CC 2nd XI v Abingdon Vale CC 4th XI,02/08/2025,2nd XI,2025
Harwell International CC Midweek XI v Steventon CC Midweek XI,06/08/2025,Midweel XI,2025
Harwell International CC 1st XI v Steventon CC 1st XI,09/08/2025,1st XI,2025
Wantage & Grove CC Friendly XI v Harwell International CC Friendly XI,10/08/2025,Friendly XI,2025
Harwell International CC 2nd XI v Stanton Harcourt CC 2nd XI,16/08/2025,2nd XI,2025
Harwell International CC Friendly XI v Aldworth CC Friendly XI,17/08/2025,Friendly XI,2025
Gaerse Dun CC 1st XI v Harwell International CC 2nd XI,23/08/2025,2nd XI,2025
Harwell International CC 1st XI v Horspath CC 4th XI,23/08/2025,1st XI,2025
Harwell International CC 2nd XI v East & West Hendred CC 3rd XI,30/08/2025,2nd XI,2025
Ascott under Wychwood CC Friendly XI v Harwell International CC Friendly XI,31/08/2025,Friendly XI,2025
Harwell International CC 1st XI v Clifton Hampden CC 1st XI,06/09/2025,1st XI,2025
Didcot CC 6th XI v Harwell International CC 2nd XI,06/09/2025,2nd XI,2025
Harwell International CC Friendly XI v Bampton-in-the-Bush CC Sunday 1st XI,02/05/2026,Friendly XI,2026
Harwell International CC Friendly XI v Goring on Thames CC Sunday XI,03/05/2026,Friendly XI,2026
Didcot CC Downs 3rd XI v Harwell International CC Midweek XI,06/05/2026,Midweek XI,2026
Dorchester-on-Thames CC 1st XI v Harwell International CC 1st XI,09/05/2026,1st XI,2026
Harwell International CC 2nd XI v Dorchester-on-Thames CC 2nd XI,09/05/2026,2nd XI,2026
Harwell International CC Midweek XI v Abingdon Vale CC Midweek XI,13/05/2026,Midweek XI,2026
Harwell International CC 1st XI v Abingdon Vale CC 2nd XI,16/05/2026,1st XI,2026
Harwell International CC Friendly XI v Wantage & Grove CC Friendly XI,17/05/2026,Friendly XI,2026
Evotec CC 1st XI v Harwell International CC Midweek XI,20/05/2026,Midweek XI,2026
Harwell International CC 2nd XI v Marcham CC 2nd XI,23/05/2026,2nd XI,2026
Harwell International CC Friendly XI v Hampstead Norreys CC Sunday 1st XI,24/05/2026,Friendly XI,2026
Letcombe CC Midweek XI v Harwell International CC Midweek XI,27/05/2026,Midweek XI,2026
